Artist,Album,Track Name,Track URI
MARINA,Electra Heart,Power & Control - Michael Woods Remix,spotify:track:2Al8V6GY753U4sGyapuscV
Joe Hisaishi,Spirited Away Soundtrack,One Summer Day,spotify:track:3gFQOMoUwlR6aUZj81gCzu
Róisín Murphy,Overpowered,Overpowered,spotify:track:7di4QTqNCZjX4JUFKhWQsr
Otis Redding,Complete & Unbelievable: The Otis Redding Dictionary of Soul,Try a Little Tenderness,spotify:track:36AlMHDBFwSsD3FQOy1R81
Gwen Stefani,The Sweet Escape,The Sweet Escape,spotify:track:66ZcOcouenzZEnzTJvoFmH
Lana Del Rey,Paradise,Bel Air,spotify:track:1OI3ZMcABE1U7hnhf9BENL
Jas Ratchford,Nobody Else to Call,Nobody Else to Call,spotify:track:6qnpbUaAewA655UAcZVOgw
Polo & Pan,Tunnel,Tunnel,spotify:track:3ys5J8MAFYex3zO7n9VduT
Eminem,The Marshall Mathers LP,Stan,spotify:track:3UmaczJpikHgJFyBTAJVoz
Beyoncé,Lemonade,Don't Hurt Yourself (feat. Jack White),spotify:track:78eouBKVRyhbSzJwChr6QM
Joe Hisaishi,My Neighbor Totoro Soundtrack Collection,Moonlight Flight,spotify:track:5bMoE8IH9PTtZBLxpMABYO
Lykke Li,so sad so sexy,last piece,spotify:track:2Z8SpRWDcWCrRBBoX6z80Z
Irma Thomas,Take A Look,Anyone Who Knows What Love Is (Will Understand),spotify:track:5GWCndQ8ykzf6rYRvwrFcj
Grimes,Violence,Violence - Original Mix,spotify:track:1WTq0BrjbCtcUYJ0N83hwp
Kate Bush,The Kick Inside,Wuthering Heights,spotify:track:5YSI1311X8t31PBjkBG4CZ
Boney M.,Love For Sale,Ma Baker,spotify:track:1BqnZOkYJbvYLOhN0qPJDm
Cigarettes After Sex,Cigarettes After Sex,Truly,spotify:track:6qwEx0TQJMEqvQdN8hRZDx
The Strokes,The New Abnormal,Why Are Sundays So Depressing,spotify:track:1aOxOpH4AkGAd8OMrKjyNY
Tom Jones,Tom Jones Sings She's A Lady,She's A Lady,spotify:track:5JnHzjo25FY1fMQMQVOawB
Lonely Benson,Lonely Benson,Strawberry Afternoons,spotify:track:7iTLtSajuKrAB6f65Y5HtW
Flatbush Zombies,Vacation In Hell,Vacation (feat. Joey Bada$$),spotify:track:3ZO6UxR61HavlXuyohc14T
Chase Atlantic,Chase Atlantic,Swim,spotify:track:3M0lSi5WW79CXQamgSBIjx
Corey Hart,Stranger Things (Soundtrack from the Netflix Original Series),Sunglasses at Night,spotify:track:64qqAndEvEwOcGlOYZnwqf
Kanye West,JESUS IS KING,On God,spotify:track:2SasoXZyv82yYgHiVOvxQn
Kid Cudi,Man On The Moon II: The Legend Of Mr. Rager,Mr. Rager,spotify:track:393MDhe62s8hbH8ETrlxe5
Faithless,Faithless 2.0,We Come 1 - Radio Edit,spotify:track:7reoZz80hQYuWtEn0Lsd0p
Fox Academy,Luxury Beverage,Lavender Blood,spotify:track:0lX13P1uH2Hn6R9iavXWxJ
The Pointer Sisters,Contact,Dare Me,spotify:track:0elllGvZ6M3Ib3wEhT7ZI1
Flo Milli,"Ho, why is you here ?",Not Friendly,spotify:track:2le8xbpMJ1aA0SpJZRMbRw
Bon Entendeur,Minuit,Alba (feat. Sofiane Pamart),spotify:track:5K9Kc9Uv5lpntEIZK8G54F
Hozier,"Wasteland, Baby!",Talk,spotify:track:6ctlpLPyLH3R1V16fxoOWE
Frou Frou,A New Kind Of Love,A New Kind Of Love - Demo,spotify:track:3fuyYaLhZ2RoP9eWpvfP1H
