platform,searchTime,searchQuery,searchInteractionURIs
IPHONE,2024-01-03T00:55:01.711Z[UTC],chief ,['spotify:track:1h6kgem1ai8vUgO1rZOwfB']
,2024-01-03T00:55:05.969Z[UTC],chief i,[]
,2024-01-03T00:55:06.207Z[UTC],chief i ,[]
,2024-01-03T00:55:06.356Z[UTC],chief i d,[]
,2024-01-03T00:55:06.446Z[UTC],chief i do,[]
,2024-01-03T00:55:06.583Z[UTC],chief i don,[]
IPHONE_ARM64,2024-01-03T00:55:06.599Z[UTC],chief i do,[]
,2024-01-03T00:55:06.660Z[UTC],chief i dont,[]
,2024-01-03T00:55:06.907Z[UTC],chief i dont ,[]
,2024-01-03T00:55:07.070Z[UTC],chief i dont l,[]
,2024-01-03T00:55:07.245Z[UTC],chief i dont li,[]
,2024-01-03T00:55:07.277Z[UTC],chief i dont lik,[]
,2024-01-03T00:55:07.364Z[UTC],chief i dont like,[]
,2024-01-03T00:55:07.667Z[UTC],chief i dont like ,[]
,2024-01-03T00:55:08.050Z[UTC],chief i dont like 1,[]
IPHONE,2024-01-03T00:55:08.297Z[UTC],chief i dont like 1,['spotify:track:3YqJ0iaDWM0aqEDQExd2j3']
,2024-01-03T00:55:08.356Z[UTC],chief i dont like 1,[]
,2024-01-03T00:59:13.876Z[UTC],s,[]
,2024-01-03T00:59:14.028Z[UTC],sw,[]
,2024-01-03T00:59:14.334Z[UTC],swe,[]
,2024-01-03T00:59:14.382Z[UTC],swee,[]
,2024-01-03T00:59:14.708Z[UTC],sweet,[]
,2024-01-03T00:59:14.948Z[UTC],sweet ,[]
,2024-01-03T00:59:16.183Z[UTC],sweet s,[]
,2024-01-03T00:59:16.364Z[UTC],sweet se,[]
,2024-01-03T00:59:16.547Z[UTC],sweet ser,[]
,2024-01-03T00:59:16.682Z[UTC],sweet serr,[]
IPHONE,2024-01-03T00:59:16.904Z[UTC],sweet serr,['spotify:track:4nwxCitFgnLugXCl0JFNTJ']
IPHONE,2024-01-03T01:06:05.874Z[UTC],joy ,[]
IPHONE,2024-01-03T01:13:23.696Z[UTC],wana,['spotify:track:6ygaR0OCPjB2YdBbbNKvss']
IPHONE_ARM64,2024-01-03T01:13:47.343Z[UTC],sad d,[]
IPHONE_ARM64,2024-01-03T01:13:47.490Z[UTC],sad di,[]
IPHONE,2024-01-03T01:13:47.793Z[UTC],sad dis,"['spotify:track:2BedHMJWiW5CuiTd2wza1u', 'spotify:track:2BedHMJWiW5CuiTd2wza1u']"
IPHONE_ARM64,2024-01-03T01:23:45.818Z[UTC],mi,[]
IPHONE_ARM64,2024-01-03T01:23:47.453Z[UTC],midnight ,[]
IPHONE_ARM64,2024-01-03T01:23:47.774Z[UTC],midnight c,[]
IPHONE,2024-01-03T01:23:48.375Z[UTC],midnight ciry,['spotify:track:6GyFP1nfCDB8lbD2bG0Hq9']
IPHONE_ARM64,2024-01-03T01:29:58.880Z[UTC],su,[]
IPHONE_ARM64,2024-01-03T01:30:01.667Z[UTC],suns,[]
IPHONE_ARM64,2024-01-03T01:30:12.299Z[UTC],my life,[]
IPHONE_ARM64,2024-01-03T01:30:16.825Z[UTC],my life i,[]
IPHONE_ARM64,2024-01-03T01:30:17.620Z[UTC],my life in t,[]
IPHONE_ARM64,2024-01-03T01:30:18.122Z[UTC],my life in the,[]
IPHONE_ARM64,2024-01-03T01:30:18.258Z[UTC],my life in the ,[]
IPHONE_ARM64,2024-01-03T01:30:18.728Z[UTC],my life in the s,[]
IPHONE,2024-01-03T01:30:19.686Z[UTC],my life in the sun,['spotify:track:5le4sn0iMcnKU56bdmNzso']
IPHONE,2024-01-03T12:10:03.730Z[UTC],void,['spotify:track:2wXioTynVwrEWYRv6R6vEj']
IPHONE_ARM64,2024-01-03T12:12:48.091Z[UTC],marin,[]
IPHONE_ARM64,2024-01-03T12:12:49.346Z[UTC],marine,[]
IPHONE,2024-01-03T12:12:49.695Z[UTC],mariners,['spotify:track:6OG05bPAwUuV3OMvy2Vy1P']
IPHONE_ARM64,2024-01-03T14:36:20.010Z[UTC],the lost so,[]
IPHONE,2024-01-03T14:36:20.232Z[UTC],the lost sou,"['spotify:track:5dPy1CCYQ04xaQHpajf5CY', 'spotify:track:5XtsfMFmpM401S6dbVaOQw', 'spotify:track:5dPy1CCYQ04xaQHpajf5CY', 'spotify:track:0kbBU3ey5IkKwPvDHXJOry', 'spotify:track:5dPy1CCYQ04xaQHpajf5CY', 'spotify:track:5XtsfMFmpM401S6dbVaOQw', 'spotify:track:5dPy1CCYQ04xaQHpajf5CY', 'spotify:track:5XtsfMFmpM401S6dbVaOQw']"
IPHONE_ARM64,2024-01-03T15:54:50.933Z[UTC],looking,[]
IPHONE,2024-01-03T15:54:52.142Z[UTC],looking ouy ,['spotify:track:3jfZ9M23l0L7RxzYMTgBTv']
IPHONE_ARM64,2024-01-03T17:08:45.455Z[UTC],b,[]
IPHONE_ARM64,2024-01-03T17:08:46.044Z[UTC],blac,[]
IPHONE,2024-01-03T17:08:48.143Z[UTC],black milk,['spotify:track:1Rezzt36ybaT2ZbDZpv83D']
IPHONE_ARM64,2024-01-03T17:15:54.014Z[UTC],2000s elec,[]
IPHONE,2024-01-03T17:15:55.504Z[UTC],2000s electronic,['spotify:playlist:7B1AAIOV1D4g0Klk0dOVWG']
OSX_X86_64,2024-01-03T21:08:32.154Z[UTC],su,[]
OSX_X86_64,2024-01-03T21:08:32.698Z[UTC],suff,[]
OSX_X86_64,2024-01-03T21:08:33.121Z[UTC],suffo,[]
OSX_X86_64,2024-01-03T21:08:34.178Z[UTC],suffoc,[]
IPHONE,2024-01-04T23:15:19.357Z[UTC],demon,['spotify:track:3Z6RaTSHc5PrpQL3DcvGW4']
IPHONE_ARM64,2024-01-04T23:16:13.428Z[UTC],s,[]
IPHONE,2024-01-04T23:16:16.846Z[UTC],smocked ,['spotify:track:3ZaEs1O8BG581qYPHpQ8d6']
IPHONE,2024-01-04T23:18:01.418Z[UTC],perfe,"['spotify:track:0whmIaItqkT8e5PVuPyhvT', 'spotify:playlist:6gigKx69oIoA8AW3nvuNCm', 'spotify:album:2KvtNjXWp2eq4oSUvf882U', 'spotify:album:2KvtNjXWp2eq4oSUvf882U']"
,2024-01-05T00:21:13.758Z[UTC],g,[]
,2024-01-05T00:21:13.973Z[UTC],gr,[]
,2024-01-05T00:21:14.289Z[UTC],gra,[]
,2024-01-05T00:21:14.486Z[UTC],gran,[]
,2024-01-05T00:21:14.662Z[UTC],grand,[]
,2024-01-05T00:21:15.028Z[UTC],grandm,[]
,2024-01-05T00:21:15.171Z[UTC],grandma,[]
,2024-01-05T00:21:15.386Z[UTC],grandmas,[]
IPHONE,2024-01-05T00:21:15.629Z[UTC],grandmas,['spotify:track:1qfDfZAvrkSAFrAR2FTQDv']
IPHONE_ARM64,2024-01-05T08:47:11.374Z[UTC],col,[]
IPHONE_ARM64,2024-01-05T08:47:11.422Z[UTC],cold,[]
IPHONE_ARM64,2024-01-05T08:47:13.404Z[UTC],colde,[]
IPHONE_ARM64,2024-01-05T08:47:13.610Z[UTC],coldest,[]
IPHONE,2024-01-05T08:47:14.548Z[UTC],coldest da,['spotify:track:2RRFTLIglxHgAYQzsSLI4Y']
IPHONE_ARM64,2024-01-05T09:38:53.257Z[UTC],l,[]
IPHONE,2024-01-05T09:38:54.708Z[UTC],long live ,['spotify:track:60Mq4EumvcSXznNugo9Op3']
